,background_max_distance,kernel_max_distance,textures_max_distance,textures_min_distance,barycenter_distance,group
3386,21.95449840010015,21.095023109728988,41.72529209005013,1.0,18.84332678590136,2
3391,18.97366596101028,17.46424919657298,34.20526275297414,1.0,15.559097679009025,2
3394,16.278820596099706,21.95449840010015,36.7967389859482,1.0,15.768117227609494,2
3397,16.55294535724685,16.492422502470642,30.4138126514911,1.0,13.28727238993339,2
3399,16.1245154965971,14.212670403551895,29.698484809834994,1.0,12.706854379808965,2
3401,23.600847442411894,19.72308292331602,42.44997055358225,1.0,19.77272195883053,2
3404,22.02271554554524,21.095023109728988,42.42640687119285,1.0,18.25934198237125,2
3407,18.601075237738275,19.235384061671343,36.7967389859482,1.0,16.474076385043187,2
3412,17.08800749063506,16.15549442140351,31.400636936215164,1.0,14.257628389184092,2
3416,18.384776310850235,18.027756377319943,34.713109915419565,1.0,15.285006623885227,2
3424,17.0,17.46424919657298,31.827660925679098,1.0,14.189838354677889,2
3430,20.248456731316587,17.0,36.23534186398688,1.0,17.372545193072302,2
3431,23.021728866442675,19.313207915827967,40.45985664828782,1.0,18.787982870264138,2
